,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
6,2000-11-01,2000-11-11,30000,30000,2000-12-01,2000-12-27,30000,30000,3.187644676652393,0.0029641777991783616,True,False,0.0023151138829677082,473041,344700,16,12,Window_30000,Demographics,mean
23,2000-11-09,2000-11-22,30000,30000,2000-12-18,2001-01-16,30000,30000,3.1027858793115235,0.0034227511036088805,True,False,0.0011622263155429645,473041,344700,16,12,Window_30000,Demographics,mean
119,2001-01-17,2001-01-22,30000,30000,2000-12-18,2001-01-16,30000,30000,3.119097129623773,0.0036832959751053863,False,False,2.3807336341389755e-07,473041,344700,16,12,Window_30000,Demographics,mean
173,2001-02-14,2001-02-25,30000,30000,2001-02-01,2001-02-18,30000,30000,3.0169342357372995,0.005386687543491459,True,False,0.045020881002538655,473041,344700,16,12,Window_30000,Demographics,mean
92,2000-12-18,2001-01-16,30000,30000,2001-02-03,2001-02-13,30000,30000,-2.936164415838093,0.005548833052036647,False,True,2.1525170231524777e-05,473041,344700,16,12,Window_30000,Demographics,mean
102,2001-01-01,2001-01-18,30000,30000,2000-12-01,2000-12-27,30000,30000,2.8988727226754354,0.005874727086407852,False,False,0.22425655667185565,473041,344700,16,12,Window_30000,Demographics,mean
22,2000-11-09,2000-11-22,30000,30000,2000-12-01,2000-12-27,30000,30000,2.8572734143624823,0.006819915434295053,True,False,0.022626002908388888,473041,344700,16,12,Window_30000,Demographics,mean
118,2001-01-17,2001-01-22,30000,30000,2000-12-01,2000-12-27,30000,30000,2.863317171866292,0.007453961388288518,False,False,1.3328064658967301e-05,473041,344700,16,12,Window_30000,Demographics,mean
94,2000-12-18,2001-01-16,30000,30000,2001-02-16,2001-02-25,30000,30000,-2.6775299321657697,0.010891777625078796,False,True,7.468034402874281e-06,473041,344700,16,12,Window_30000,Demographics,mean
11,2000-11-01,2000-11-11,30000,30000,2001-01-22,2001-02-13,30000,30000,2.650493173949858,0.012389811572556567,True,True,0.0010583423977030537,473041,344700,16,12,Window_30000,Demographics,mean
165,2001-02-14,2001-02-25,30000,30000,2000-12-02,2000-12-14,30000,30000,2.694670145766019,0.012934395341563676,True,False,1.0,473041,344700,16,12,Window_30000,Demographics,mean
95,2000-12-18,2001-01-16,30000,30000,2001-02-23,2001-02-28,23041,23041,-2.6143887458627955,0.0132261923861766,False,False,5.502236328479251e-08,473041,344700,16,12,Window_30000,Demographics,mean
171,2001-02-14,2001-02-25,30000,30000,2001-01-22,2001-02-13,30000,30000,2.48664057835666,0.01812936260932376,True,True,0.002511285370786513,473041,344700,16,12,Window_30000,Demographics,mean
168,2001-02-14,2001-02-25,30000,30000,2001-01-03,2001-01-16,30000,30000,2.393865787463526,0.024841091820266684,True,False,0.5891544654500582,473041,344700,16,12,Window_30000,Demographics,mean
44,2000-11-19,2000-12-13,30000,30000,2001-02-03,2001-02-13,30000,30000,-2.3388160553965385,0.025360846877347812,False,True,8.107366908890948e-05,473041,344700,16,12,Window_30000,Demographics,mean
135,2001-01-22,2001-02-13,30000,30000,2000-12-18,2001-01-16,30000,30000,2.2753311940275123,0.02711964970223207,True,False,0.21003359002269179,473041,344700,16,12,Window_30000,Demographics,mean
76,2000-12-01,2000-12-27,30000,30000,2001-02-03,2001-02-13,30000,30000,-2.21191661829179,0.033405527763139736,False,True,0.0008088652545062878,473041,344700,16,12,Window_30000,Demographics,mean
